Rowid_,VALUE,COUNT,AREA_SQ_M,DEPTH_BIN_M,VOLUME_M3_SLIVER,VOL_M3_CROSS_SECTION,VOL_M3_ABOVE
0,1,82371,8237100,1,8237100,190613600,190613600
1,2,53163,5316300,2,10632600,182376500,372990100
2,3,38250,3825000,3,11475000,177060200,550050300
3,4,35171,3517100,4,14068400,173235200,723285500
4,5,33305,3330500,5,16652500,169718100,893003600
5,6,34071,3407100,6,20442600,166387600,1059391200
6,7,39129,3912900,7,27390300,162980500,1222371700
7,8,34299,3429900,8,27439200,159067600,1381439300
8,9,34542,3454200,9,31087800,155637700,1537077000
9,10,34886,3488600,10,34886000,152183500,1689260500
10,11,36711,3671100,11,40382100,148694900,1837955400
11,12,31165,3116500,12,37398000,145023800,1982979200
12,13,24289,2428900,13,31575700,141907300,2124886500
13,14,15208,1520800,14,21291200,139478400,2264364900
14,15,14826,1482600,15,22239000,137957600,2402322500
15,16,14592,1459200,16,23347200,136475000,2538797500
16,17,14658,1465800,17,24918600,135015800,2673813300
17,18,14999,1499900,18,26998200,133550000,2807363300
18,19,15620,1562000,19,29678000,132050100,2939413400
19,20,17247,1724700,20,34494000,130488100,3069901500
20,21,21565,2156500,21,45286500,128763400,3198664900
21,22,32479,3247900,22,71453800,126606900,3325271800
22,23,26128,2612800,23,60094400,123359000,3448630800
23,24,25025,2502500,24,60060000,120746200,3569377000
24,25,26119,2611900,25,65297500,118243700,3687620700
25,26,29318,2931800,26,76226800,115631800,3803252500
26,27,34049,3404900,27,91932300,112700000,3915952500
27,28,39630,3963000,28,110964000,109295100,4025247600
28,29,48405,4840500,29,140374500,105332100,4130579700
29,30,58271,5827100,30,174813000,100491600,4231071300
30,31,46680,4668000,31,144708000,94664500,4325735800
31,32,45840,4584000,32,146688000,89996500,4415732300
32,33,31764,3176400,33,104821200,85412500,4501144800
33,34,30381,3038100,34,103295400,82236100,4583380900
34,35,21054,2105400,35,73689000,79198000,4662578900
35,36,15603,1560300,36,56170800,77092600,4739671500
36,37,13942,1394200,37,51585400,75532300,4815203800
37,38,14747,1474700,38,56038600,74138100,4889341900
38,39,13016,1301600,39,50762400,72663400,4962005300
39,40,12383,1238300,40,49532000,71361800,5033367100
40,41,12433,1243300,41,50975300,70123500,5103490600
41,42,12650,1265000,42,53130000,68880200,5172370800
42,43,13525,1352500,43,58157500,67615200,5239986000
43,44,15272,1527200,44,67196800,66262700,5306248700
44,45,20161,2016100,45,90724500,64735500,5370984200
45,46,60730,6073000,46,279358000,62719400,5433703600
46,47,31005,3100500,47,145723500,56646400,5490350000
47,48,22397,2239700,48,107505600,53545900,5543895900
48,49,21586,2158600,49,105771400,51306200,5595202100
49,50,20298,2029800,50,101490000,49147600,5644349700
50,51,16706,1670600,51,85200600,47117800,5691467500
51,52,15543,1554300,52,80823600,45447200,5736914700
52,53,15741,1574100,53,83427300,43892900,5780807600
53,54,16595,1659500,54,89613000,42318800,5823126400
54,55,17460,1746000,55,96030000,40659300,5863785700
55,56,18190,1819000,56,101864000,38913300,5902699000
56,57,20100,2010000,57,114570000,37094300,5939793300
57,58,21070,2107000,58,122206000,35084300,5974877600
58,59,22950,2295000,59,135405000,32977300,6007854900
59,60,26309,2630900,60,157854000,30682300,6038537200
60,61,77514,7751400,61,472835400,28051400,6066588600
61,62,82933,8293300,62,514184600,20300000,6086888600
62,63,34564,3456400,63,217753200,12006700,6098895300
63,64,23931,2393100,64,153158400,8550300,6107445600
64,65,17740,1774000,65,115310000,6157200,6113602800
65,66,9087,908700,66,59974200,4383200,6117986000
66,67,6490,649000,67,43483000,3474500,6121460500
67,68,5957,595700,68,40507600,2825500,6124286000
68,69,5790,579000,69,39951000,2229800,6126515800
69,70,5365,536500,70,37555000,1650800,6128166600
70,71,6179,617900,71,43870900,1114300,6129280900
71,72,4717,471700,72,33962400,496400,6129777300
72,73,247,24700,73,1803100,24700,6129802000
